strain,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet_bias, tnet_random_sample
EPI_ISL_434961,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Maryland,Texas,Texas,Texas
EPI_ISL_434966,Illinois,Utah,Texas,Utah,Texas,Texas,Texas,Illinois,Washington,Texas,Washington,Texas
EPI_ISL_434970,Illinois,California,Texas,Texas,Texas,Michigan,Texas,California,Massachusetts,Michigan,Texas,Texas
EPI_ISL_434972,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_434973,Utah,Idaho,Texas,Utah,Utah,Texas,Idaho,Louisiana,Idaho,Wisconsin,Idaho,Idaho
EPI_ISL_434976,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Texas
EPI_ISL_434977,Texas,Louisiana,Texas,Texas,Texas,Texas,Texas,Texas,Louisiana,Texas,Texas,Texas
EPI_ISL_434982,Illinois,Illinois,Illinois,Maryland,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_434986,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas
EPI_ISL_434987,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas
EPI_ISL_434998,California,California,California,Utah,Maryland,California,Utah,California,Minnesota,Maryland,California,California
EPI_ISL_435000,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Louisiana,Texas,Texas,Texas
EPI_ISL_435001,Texas,Texas,Texas,Minnesota,Minnesota,Idaho,Texas,Utah,Utah,Connecticut,Connecticut,Minnesota
EPI_ISL_435002,NewYork,Maryland,Michigan,Michigan,Texas,Maryland,NewMexico,California,Wisconsin,Maryland,Michigan,Texas
EPI_ISL_435003,Texas,Louisiana,Texas,Texas,Texas,Louisiana,Texas,Michigan,Texas,Texas,Texas,Texas
EPI_ISL_435005,Louisiana,Texas,Texas,Texas,Texas,Louisiana,Texas,Idaho,Texas,Maryland,Louisiana,Texas
EPI_ISL_435006,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas
EPI_ISL_435007,Texas,Texas,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Texas,Louisiana,Texas,Texas,Texas
EPI_ISL_435009,Virginia,Connecticut,Michigan,Minnesota,Louisiana,Maryland,Maryland,Texas,NewYork,Michigan,Michigan,Maryland
EPI_ISL_435010,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas
EPI_ISL_435011,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas
EPI_ISL_435012,Texas,Louisiana,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Texas,Louisiana,Texas,Louisiana,Texas
EPI_ISL_435013,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas
EPI_ISL_435014,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas
EPI_ISL_435015,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas
EPI_ISL_435016,California,Connecticut,Connecticut,Texas,Texas,Massachusetts,NewYork,Texas,California,Michigan,NewYork,Texas
EPI_ISL_435017,Texas,Texas,Texas,Missouri,Texas,Texas,Utah,NewYork,Texas,Texas,Texas,Texas
EPI_ISL_435018,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Maryland,Texas,Texas,Texas
EPI_ISL_435019,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Louisiana,Texas,Texas
EPI_ISL_435020,Texas,Texas,Texas,Utah,Oregon,California,Michigan,Texas,Texas,Oregon,Texas,Texas
EPI_ISL_435021,NewYork,NewYork,Connecticut,Maryland,Texas,Maryland,Maryland,Texas,Oregon,Texas,Texas,Texas
EPI_ISL_435022,Texas,Louisiana,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Michigan,Texas,Texas
EPI_ISL_434753,Texas,NewYork,Alaska,Arizona,Arizona,NewYork,NewYork,Arizona,Virginia,Arizona,Michigan,Arizona
EPI_ISL_435023,Texas,Texas,Texas,Texas,Louisiana,Texas,Texas,Louisiana,Texas,Texas,Texas,Texas
EPI_ISL_435024,Texas,Texas,Texas,Washington,Texas,Texas,Connecticut,Utah,Texas,Virginia,Washington,Washington
EPI_ISL_435028,Utah,Florida,Texas,Texas,Massachusetts,Virginia,Utah,Texas,Wisconsin,Missouri,Michigan,Texas
EPI_ISL_435029,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas
EPI_ISL_435031,Texas,Texas,Michigan,Michigan,Texas,Michigan,Utah,Connecticut,Virginia,Texas,NewYork,Michigan
EPI_ISL_434764,Texas,Nebraska,California,Utah,California,California,California,Utah,Minnesota,Texas,Florida,Texas
EPI_ISL_434718,Texas,Texas,Texas,Texas,Texas,Texas,Idaho,Texas,Texas,Louisiana,Texas,Texas
EPI_ISL_420796,California,Wisconsin,NewYork,California,Minnesota,Wisconsin,California,Texas,Minnesota,Texas,NewYork,Texas
EPI_ISL_444022,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Louisiana,Connecticut,Massachusetts,Massachusetts,Massachusetts,Texas,Massachusetts,Massachusetts
EPI_ISL_445078,Texas,Texas,Arizona,Texas,Texas,Texas,Louisiana,Texas,Texas,Texas,Texas,Texas
EPI_ISL_449804,Minnesota,Michigan,Michigan,Utah,Wyoming,Connecticut,Pennsylvania,Utah,Utah,Michigan,Utah,Utah
EPI_ISL_449809,Massachusetts,Utah,Utah,Utah,Massachusetts,Utah,Massachusetts,Utah,Utah,Utah,Utah,Utah
EPI_ISL_417958,Utah,Utah,California,Utah,Utah,Utah,California,Oregon,California,Utah,California,California
EPI_ISL_430038,Utah,Utah,Utah,Utah,Oregon,Utah,Utah,Wisconsin,Utah,Utah,Utah,Utah
EPI_ISL_417959,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_417960,Washington,Utah,Utah,Utah,Washington,Illinois,Utah,Utah,Utah,Utah,Washington,Washington
EPI_ISL_421562,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_436915,NewYork,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_449822,Louisiana,Idaho,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Utah,Utah,Virginia,Utah,Utah
EPI_ISL_420805,California,California,California,California,Illinois,California,Utah,Wisconsin,California,Wisconsin,California,California
EPI_ISL_449833,Massachusetts,Massachusetts,Virginia,Massachusetts,Massachusetts,Utah,Maryland,Maryland,Maryland,Virginia,Virginia,Utah
EPI_ISL_454707,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_454710,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_454714,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,NewYork,Utah,Utah
EPI_ISL_470656,California,California,California,Utah,California,California,Utah,Utah,Utah,Maryland,Utah,Utah
EPI_ISL_470696,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_418962,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,California,California
EPI_ISL_452168,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_452171,Utah,Utah,Utah,Louisiana,Louisiana,Utah,Louisiana,Utah,Utah,Louisiana,Utah,Utah
EPI_ISL_454722,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Maryland,Utah,Utah,Utah,Utah
EPI_ISL_417028,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Oregon,Utah
EPI_ISL_470669,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_418963,Utah,Utah,Utah,Utah,Utah,Connecticut,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_418964,Utah,Utah,Utah,Utah,Utah,Connecticut,Utah,California,NewYork,Utah,Utah,Utah
EPI_ISL_436937,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_487223,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_487225,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_420806,Washington,Utah,Utah,Washington,Washington,Washington,Washington,Washington,Utah,Utah,Utah,Utah
EPI_ISL_420807,California,California,California,Utah,California,California,Utah,Utah,Minnesota,Maryland,Minnesota,Utah
EPI_ISL_420810,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Utah,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_420813,Louisiana,Louisiana,Louisiana,Arizona,Louisiana,Utah,Louisiana,Utah,Louisiana,Texas,Louisiana,Louisiana
EPI_ISL_417976,Wisconsin,Utah,Wisconsin,Utah,Louisiana,Iowa,Utah,Utah,Utah,Louisiana,Oregon,NewYork
EPI_ISL_420817,California,Wisconsin,Utah,Utah,Utah,Massachusetts,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_420819,NewYork,Utah,NorthCarolina,Utah,Utah,Utah,Connecticut,Connecticut,Utah,Utah,Utah,Utah
EPI_ISL_420820,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_450539,Washington,Utah,Utah,Washington,Washington,Washington,Washington,Washington,Utah,Utah,Utah,Utah
EPI_ISL_450543,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_420821,Massachusetts,Utah,Utah,Utah,Massachusetts,Utah,Virginia,Utah,Utah,Utah,Utah,Utah
EPI_ISL_420822,Louisiana,Idaho,Arizona,California,Louisiana,Michigan,Utah,Utah,Louisiana,Michigan,Utah,Utah
EPI_ISL_450554,Utah,Virginia,Utah,Utah,Oregon,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_430039,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Massachusetts,Utah,Utah,Utah,Utah
EPI_ISL_470717,Utah,Louisiana,Idaho,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Idaho,Utah
EPI_ISL_475730,California,California,Michigan,Minnesota,NewYork,Michigan,California,Wisconsin,California,NewYork,Pennsylvania,Utah
EPI_ISL_450564,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_483018,Utah,Louisiana,Utah,Utah,Utah,Utah,Utah,Utah,Louisiana,Utah,Utah,Utah
EPI_ISL_470559,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_454728,Utah,Louisiana,Utah,Utah,Louisiana,Louisiana,Utah,Utah,Louisiana,Utah,Utah,Utah
EPI_ISL_475726,Utah,Michigan,Missouri,Missouri,Utah,Utah,Utah,Utah,Utah,Missouri,Utah,Utah
EPI_ISL_475728,Utah,Utah,Utah,Utah,Utah,Louisiana,Utah,Utah,Idaho,Utah,Utah,Utah
EPI_ISL_483024,Idaho,Utah,Idaho,Idaho,Utah,Utah,Utah,Utah,Idaho,Idaho,Idaho,Idaho
EPI_ISL_475743,Pennsylvania,Utah,Michigan,NewYork,Louisiana,Utah,Maryland,Oregon,Utah,Louisiana,Utah,Utah
EPI_ISL_487246,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_487248,Utah,NewYork,California,Utah,Utah,Utah,Utah,Utah,Wisconsin,Utah,Utah,Utah
EPI_ISL_487251,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_487252,Idaho,Louisiana,Idaho,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_430043,Louisiana,Louisiana,Louisiana,Utah,Maryland,Utah,Texas,Utah,Louisiana,Pennsylvania,Utah,Utah
EPI_ISL_430050,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Utah,Louisiana,Utah,Louisiana,Louisiana,Utah,Utah
EPI_ISL_435363,NewJersey,NewYork,NewJersey,Utah,Utah,Arizona,Utah,Arizona,Utah,Utah,NewYork,Utah
EPI_ISL_435377,Pennsylvania,Utah,Utah,Utah,Louisiana,Utah,Utah,Utah,NewJersey,Utah,Utah,Utah
EPI_ISL_483031,Utah,Utah,Utah,Utah,Utah,Utah,Idaho,Utah,Utah,Utah,Utah,Utah
EPI_ISL_415544,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,California,California
EPI_ISL_430022,Utah,Utah,Florida,Utah,Utah,Utah,Missouri,Wisconsin,Utah,Utah,Utah,Utah
EPI_ISL_430024,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_430026,Michigan,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Utah,Utah,Utah,Connecticut,Utah,Connecticut
EPI_ISL_417026,Utah,Utah,Utah,Utah,Utah,Massachusetts,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_420803,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_435390,California,Utah,Illinois,Utah,Utah,Massachusetts,Utah,Massachusetts,Utah,Utah,Utah,Utah
EPI_ISL_420804,Utah,Utah,Utah,Utah,Utah,Utah,Connecticut,Utah,Utah,Utah,Utah,Utah
EPI_ISL_467909,Washington,Utah,Utah,Utah,Washington,Washington,Washington,Washington,Washington,Utah,Washington,Utah
EPI_ISL_467911,Minnesota,Minnesota,Washington,Utah,Utah,Utah,Washington,Washington,Connecticut,Utah,Utah,Utah
EPI_ISL_467915,California,California,California,California,Utah,NorthCarolina,California,NewYork,Utah,California,California,California
EPI_ISL_467918,Pennsylvania,Pennsylvania,Utah,Oregon,Oregon,Maryland,Pennsylvania,Wisconsin,Pennsylvania,Florida,Pennsylvania,Pennsylvania
EPI_ISL_467923,Michigan,Michigan,Virginia,Maryland,Texas,Maryland,Connecticut,Texas,NewYork,Michigan,Michigan,Utah
EPI_ISL_467925,Oregon,Utah,Utah,Utah,Utah,Virginia,Utah,Utah,Utah,Utah,Utah,Utah
EPI_ISL_419260,Virginia,Virginia,Virginia,Wisconsin,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,NewYork,NewYork
EPI_ISL_419706,Virginia,Massachusetts,Virginia,Massachusetts,Massachusetts,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_419708,Virginia,Connecticut,California,Virginia,Louisiana,Michigan,Virginia,NewJersey,Virginia,Minnesota,Virginia,Virginia
EPI_ISL_419710,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_420029,Virginia,Virginia,Virginia,Washington,Utah,Virginia,Utah,Minnesota,Virginia,Virginia,Virginia,Virginia
EPI_ISL_419712,Virginia,Massachusetts,Virginia,Massachusetts,Massachusetts,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_420020,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_420024,Missouri,Connecticut,Utah,Utah,Massachusetts,Virginia,Utah,Florida,California,Missouri,Utah,Virginia
EPI_ISL_426463,NewYork,California,Michigan,Maryland,Louisiana,Virginia,Virginia,Utah,NewYork,Michigan,Virginia,Virginia
EPI_ISL_426466,Virginia,Virginia,Virginia,Michigan,Connecticut,Virginia,Connecticut,Oregon,Michigan,Idaho,Virginia,Virginia
EPI_ISL_429969,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_429971,Virginia,Virginia,Virginia,Illinois,Virginia,Minnesota,Maryland,Virginia,Virginia,Maryland,Georgia,Virginia
EPI_ISL_429974,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Massachusetts,Virginia,Virginia
EPI_ISL_429975,Massachusetts,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Massachusetts,Virginia,Virginia
EPI_ISL_429977,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_429978,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Maryland,Virginia,Virginia
EPI_ISL_429981,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_429987,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_434594,Washington,Virginia,Virginia,Washington,Washington,Virginia,Washington,Washington,Virginia,Utah,Virginia,Virginia
EPI_ISL_434603,Virginia,Virginia,Oregon,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_434604,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_437763,Maryland,Virginia,Maryland,Maryland,Maryland,Maryland,Connecticut,Maryland,Maryland,Maryland,Maryland,Maryland
EPI_ISL_437765,Maryland,Minnesota,Minnesota,Virginia,Louisiana,Minnesota,Louisiana,Virginia,Minnesota,Minnesota,Louisiana,Virginia
EPI_ISL_437772,Virginia,Virginia,Virginia,Michigan,Louisiana,Virginia,Virginia,Virginia,Utah,Louisiana,Virginia,Virginia
EPI_ISL_437773,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_437777,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_437797,Virginia,Virginia,Virginia,Virginia,Virginia,NewYork,Virginia,Virginia,NewYork,Virginia,NewYork,Virginia
EPI_ISL_437800,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_437802,Virginia,California,Oregon,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_437398,Pennsylvania,Florida,Virginia,Virginia,NewYork,Virginia,Florida,Florida,Virginia,Virginia,Virginia,Virginia
EPI_ISL_437410,Michigan,Florida,Virginia,Virginia,NewYork,Virginia,Florida,Florida,Virginia,Virginia,Virginia,Virginia
EPI_ISL_437419,Virginia,Maryland,Virginia,Massachusetts,Virginia,Virginia,Virginia,Massachusetts,Virginia,Virginia,Massachusetts,Virginia
EPI_ISL_437429,Florida,NewYork,Virginia,Virginia,Virginia,Florida,Pennsylvania,Florida,Virginia,Florida,Florida,Florida
EPI_ISL_452802,Maryland,Florida,Virginia,Florida,Virginia,Virginia,Florida,Florida,Virginia,Pennsylvania,NewYork,Virginia
EPI_ISL_452813,Virginia,Virginia,Virginia,Virginia,Michigan,Virginia,Connecticut,Virginia,Michigan,Virginia,Virginia,Virginia
EPI_ISL_452815,Virginia,Virginia,Michigan,Virginia,Virginia,Maryland,Maryland,Minnesota,Virginia,Louisiana,Maryland,Virginia
EPI_ISL_452823,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_452828,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_452830,California,Michigan,California,Virginia,Virginia,Michigan,Michigan,Connecticut,Michigan,Louisiana,Michigan,Michigan
EPI_ISL_452833,Florida,Virginia,Michigan,Virginia,Virginia,Virginia,Virginia,Virginia,Florida,Virginia,Arizona,Arizona
EPI_ISL_463101,Pennsylvania,Oregon,Virginia,Oregon,Virginia,Virginia,NewMexico,Virginia,Pennsylvania,Oregon,Virginia,Virginia
EPI_ISL_463105,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463108,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463109,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463111,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463113,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_467928,Virginia,Virginia,Connecticut,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_467932,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_467934,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_467936,Virginia,California,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463114,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463116,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463118,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463119,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463120,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_467941,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463128,Washington,Washington,Washington,Virginia,Washington,Washington,Arizona,Virginia,Florida,Washington,Washington,Virginia
EPI_ISL_463131,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463132,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463133,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463134,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_463136,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_467782,Virginia,Virginia,NewYork,NewYork,Washington,Virginia,NewYork,Louisiana,NewYork,Michigan,Virginia,Virginia
EPI_ISL_467786,Virginia,Connecticut,Florida,Florida,Oregon,Virginia,Florida,Florida,Michigan,Florida,Virginia,Virginia
EPI_ISL_467794,Virginia,Virginia,Virginia,NewYork,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_467801,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Virginia,Virginia,Virginia,Massachusetts,Virginia,Virginia,Massachusetts,Massachusetts
EPI_ISL_477632,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_477637,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_477639,Virginia,Virginia,Virginia,Virginia,California,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_477661,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Washington,Virginia,Virginia,Virginia
EPI_ISL_477663,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_477664,Virginia,Virginia,Virginia,Virginia,Oregon,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_477666,Virginia,Virginia,Virginia,Virginia,NewYork,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_477671,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_485816,Virginia,NewYork,Virginia,Minnesota,Virginia,Virginia,NewYork,Virginia,Utah,Virginia,Pennsylvania,Virginia
EPI_ISL_485820,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_485822,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_485823,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_485824,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_485826,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_485833,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Massachusetts,Virginia,Virginia,Virginia
EPI_ISL_485836,Texas,Michigan,Virginia,Virginia,Louisiana,Virginia,Louisiana,Louisiana,NewYork,Texas,Michigan,Virginia
EPI_ISL_485838,Washington,Washington,Virginia,Virginia,Minnesota,Minnesota,Virginia,Virginia,Virginia,Virginia,Washington,Virginia
EPI_ISL_485842,Washington,Washington,Virginia,Washington,Washington,Virginia,Massachusetts,Minnesota,Virginia,Virginia,Washington,Washington
EPI_ISL_485844,Washington,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,Washington,NorthCarolina,Washington,Washington,NorthCarolina,Washington,Washington
EPI_ISL_485847,Massachusetts,Virginia,Massachusetts,Virginia,Virginia,Virginia,Virginia,Virginia,Massachusetts,Massachusetts,Virginia,Virginia
EPI_ISL_485848,Virginia,Virginia,Virginia,Virginia,NewYork,NewYork,Minnesota,Virginia,California,Virginia,California,Virginia
EPI_ISL_485856,Virginia,Virginia,Virginia,Virginia,Louisiana,Virginia,Virginia,Louisiana,Virginia,Virginia,Virginia,Virginia
EPI_ISL_485858,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,NewYork,Virginia,NewYork,Massachusetts
EPI_ISL_485859,Virginia,Virginia,Wisconsin,Virginia,California,Virginia,Connecticut,Utah,NewYork,Wisconsin,Virginia,Virginia
