strain	virus	date	country
EPI_ISL_414554	hCoV-19	2020-03-08	Netherlands
EPI_ISL_416472	hCoV-19	2020-03-02	Belgium
EPI_ISL_421465	hCoV-19	2020-03-19	Portugal
EPI_ISL_419675	hCoV-19	2020-03-20	Spain
EPI_ISL_425737	hCoV-19	2020-03-18	Scotland
EPI_ISL_417829	hCoV-19	2020-03-16	Iceland
EPI_ISL_419892	hCoV-19	2020-03-19	Australia
EPI_ISL_422528	hCoV-19	2020-03-21	USA
EPI_ISL_420297	hCoV-19	2020-03-18	USA
EPI_ISL_423867	hCoV-19	2020-03-18	England
EPI_ISL_424870	hCoV-19	2020-03-06	USA
EPI_ISL_425779	hCoV-19	2020-03-13	Scotland
EPI_ISL_416676	hCoV-19	2020-03-11	USA
EPI_ISL_420427	hCoV-19	2020-03-24	Belgium
EPI_ISL_420278	hCoV-19	2020-03-21	England
EPI_ISL_423806	hCoV-19	2020-03-23	England
EPI_ISL_416602	hCoV-19	2020-02-16	Japan
EPI_ISL_423238	hCoV-19	2020-03-24	England
EPI_ISL_417024	hCoV-19	2020-03-15	Belgium
EPI_ISL_420855	hCoV-19	2020-03-23	Australia
EPI_ISL_423105	hCoV-19	2020-03-23	England
EPI_ISL_418831	hCoV-19	2020-03-11	Canada
EPI_ISL_417030	hCoV-19	2020-01-24	Australia
EPI_ISL_423583	hCoV-19	2020-03-31	England
EPI_ISL_416604	hCoV-19	2020-02-16	Japan
EPI_ISL_417993	hCoV-19	2020-03-08	Portugal
EPI_ISL_421258	hCoV-19	2020-02-08	China
EPI_ISL_419412	hCoV-19	2020-03-17	Wales
EPI_ISL_418027	hCoV-19	2020-03-17	Portugal
EPI_ISL_418807	hCoV-19	2020-03-19	Australia
EPI_ISL_416487	hCoV-19	2020-03-04	Spain
EPI_ISL_408479	hCoV-19	2020-01-23	China
EPI_ISL_420373	hCoV-19	2020-03-23	Belgium
EPI_ISL_422707	hCoV-19	2020-03-22	Netherlands
EPI_ISL_419904	hCoV-19	2020-03-20	Australia
EPI_ISL_420370	hCoV-19	2020-03-19	Belgium
EPI_ISL_419587	hCoV-19	2020-03-11	Luxembourg
EPI_ISL_419961	hCoV-19	2020-03-22	Australia
EPI_ISL_416482	hCoV-19	2020-03-13	Georgia
EPI_ISL_423365	hCoV-19	2020-03-29	England
EPI_ISL_415476	hCoV-19	2020-03-10	Netherlands
EPI_ISL_416352	hCoV-19	2020-01-30	China
EPI_ISL_417267	hCoV-19	2020-03-05	England
EPI_ISL_422640	hCoV-19	2020-03-20	Netherlands
EPI_ISL_417266	hCoV-19	2020-03-05	England
EPI_ISL_417653	hCoV-19	2020-03-18	Iceland
EPI_ISL_417978	hCoV-19	2020-03-09	Spain
EPI_ISL_418764	hCoV-19	2020-03-18	England
EPI_ISL_419741	hCoV-19	2020-03-08	Australia
EPI_ISL_422664	hCoV-19	2020-03-16	Netherlands
EPI_ISL_426166	hCoV-19	2020-02-04	South Korea
EPI_ISL_416339	hCoV-19	2020-02-03	China
EPI_ISL_421510	hCoV-19	2020-03-23	France
EPI_ISL_424440	hCoV-19	2020-03-19	Iceland
