strain	date	country	country_exposure
EPI_ISL_447646	2020-03-10	Greece	Greece
EPI_ISL_447647	2020-03-10	Greece	Greece
EPI_ISL_460604	2020-03-29	Russia	Russia
EPI_ISL_453854	2020-03-27	Portugal	Portugal
EPI_ISL_466688	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_419303	2020-03-12	Japan	Egypt
EPI_ISL_419309	2020-03-12	Japan	Egypt
EPI_ISL_438966	2020-04-16	Japan	Japan
EPI_ISL_437952	2020-03-24	Austria	Austria
EPI_ISL_455109	2020-05-13	Sweden	Sweden
EPI_ISL_430007	2020-03-19	Jordan	Jordan
EPI_ISL_452189	2020-04-01	Italy	Italy
EPI_ISL_455963	2020-05-08	Belgium	Belgium
EPI_ISL_450265	2020-04-21	Russia	Russia
EPI_ISL_427333	2020-04-07	Russia	Russia
EPI_ISL_427815	2020-04-07	Russia	Russia
EPI_ISL_430079	2020-04-10	Russia	Russia
EPI_ISL_450286	2020-04-22	Russia	Russia
EPI_ISL_427325	2020-04-07	Russia	Russia
EPI_ISL_430076	2020-04-10	Russia	Russia
EPI_ISL_455470	2020-05-14	Romania	Romania
EPI_ISL_453860	2020-03-27	Portugal	Portugal
EPI_ISL_435155	2020-04-09	Italy	Italy
EPI_ISL_455110	2020-05-14	Sweden	Sweden
EPI_ISL_427111	2020-04-04	Australia	Australia
EPI_ISL_447796	2020-04-04	Colombia	Colombia
EPI_ISL_448458	2020-04-05	United Kingdom	UnitedKingdom
EPI_ISL_454182	2020-04-19	Portugal	Portugal
EPI_ISL_454190	2020-04-18	Portugal	Portugal
EPI_ISL_454193	2020-04-18	Portugal	Portugal
EPI_ISL_454304	2020-04-24	Portugal	Portugal
EPI_ISL_420912	2020-03-21	Germany	Germany
EPI_ISL_434465	2020-03-23	Greece	Greece
EPI_ISL_455702	2020-03-27	Vietnam	Vietnam
EPI_ISL_426892	2020-03-27	Czech Republic	CzechRepublic
EPI_ISL_437311	2020-03-27	Turkey	Turkey
EPI_ISL_428914	2020-03-30	Russia	Russia
EPI_ISL_437090	2020-03-24	Latvia	Latvia
EPI_ISL_457703	2020-03-25	Oman	Oman
EPI_ISL_427338	2020-03-25	Russia	Russia
EPI_ISL_429232	2020-03-24	Italy	Italy
EPI_ISL_437305	2020-03-27	Turkey	Turkey
EPI_ISL_437333	2020-03-25	Turkey	Turkey
EPI_ISL_419308	2020-03-19	Japan	Japan
EPI_ISL_419306	2020-03-20	Japan	Japan
EPI_ISL_422432	2020-03-31	Singapore	Singapore
EPI_ISL_445377	2020-04-05	Chile	Chile
EPI_ISL_430535	2020-04-03	Australia	Australia
EPI_ISL_417260	2020-03-05	United Kingdom	UnitedKingdom
EPI_ISL_435303	2020-03-07	Vietnam	Vietnam
EPI_ISL_420600	2020-03-07	Argentina	Argentina
EPI_ISL_419310	2020-03-13	Japan	Japan
EPI_ISL_447638	2020-03-13	Greece	Greece
EPI_ISL_436413	2020-03-30	India	India
EPI_ISL_455710	2020-04-09	Vietnam	Vietnam
EPI_ISL_455712	2020-04-10	Vietnam	Vietnam
EPI_ISL_429233	2020-03-24	Italy	Italy
EPI_ISL_437239	2020-04-02	Germany	Germany
EPI_ISL_466909	2020-05-11	Germany	Germany
EPI_ISL_455632	2020-04-30	South Africa	SouthAfrica
EPI_ISL_450291	2020-04-23	Russia	Russia
EPI_ISL_430602	2020-04-09	Australia	Australia
EPI_ISL_435154	2020-04-09	Italy	Italy
EPI_ISL_450273	2020-04-22	Russia	Russia
EPI_ISL_435125	2020-03-16	United Arab Emirates	UnitedArabEmirates
EPI_ISL_450404	2020-03-16	Hong Kong	HongKong
EPI_ISL_454041	2020-03-16	Portugal	Portugal
EPI_ISL_430003	2020-03-16	Jordan	Jordan
EPI_ISL_467009	2020-05-07	Switzerland	Switzerland
EPI_ISL_464162	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_455111	2020-05-14	Sweden	Sweden
EPI_ISL_458784	2020-04-19	United Kingdom	UnitedKingdom
EPI_ISL_421448	2020-03-18	Portugal	Portugal
EPI_ISL_433833	2020-04-08	United Kingdom	UnitedKingdom
EPI_ISL_445238	2020-04-20	Sweden	Sweden
EPI_ISL_445234	2020-04-20	Sweden	Sweden
EPI_ISL_435427	2020-03-25	Hungary	Hungary
EPI_ISL_422437	2020-03-25	Italy	Italy
EPI_ISL_464160	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_430074	2020-04-08	Russia	Russia
EPI_ISL_450262	2020-04-21	Russia	Russia
EPI_ISL_450289	2020-04-23	Russia	Russia
EPI_ISL_436684	2020-03-31	South Africa	SouthAfrica
EPI_ISL_435149	2020-04-08	Italy	Italy
EPI_ISL_450283	2020-04-22	Russia	Russia
EPI_ISL_450280	2020-04-22	Russia	Russia
EPI_ISL_459973	2020-03-20	Morocco	Morocco
EPI_ISL_427784	2020-03-20	Australia	Australia
EPI_ISL_419301	2020-03-11	Japan	Egypt
EPI_ISL_419302	2020-03-12	Japan	Egypt
EPI_ISL_447649	2020-03-11	Greece	Greece
EPI_ISL_447651	2020-03-09	Greece	Greece
EPI_ISL_430807	2020-04-02	Argentina	France
EPI_ISL_426356	2020-03-21	Czech Republic	CzechRepublic
EPI_ISL_451652	2020-04-30	Poland	Poland
EPI_ISL_450828	2020-04-28	Sweden	Sweden
EPI_ISL_455699	2020-03-21	Vietnam	Vietnam
EPI_ISL_430802	2020-03-31	Argentina	Argentina
EPI_ISL_455979	2020-05-11	Belgium	Belgium
EPI_ISL_450833	2020-05-07	Sweden	Sweden
EPI_ISL_431117	2020-03-20	India	UnitedKingdom
EPI_ISL_436720	2020-03-20	Italy	Italy
EPI_ISL_443223	2020-03-20	Singapore	Singapore
EPI_ISL_453958	2020-03-31	Portugal	Portugal
EPI_ISL_451657	2020-05-05	Poland	Poland
EPI_ISL_451661	2020-05-05	Poland	Poland
EPI_ISL_450257	2020-04-20	Russia	Russia
EPI_ISL_447461	2020-04-17	Israel	Israel
EPI_ISL_430012	2020-03-30	Jordan	Jordan
EPI_ISL_430009	2020-03-30	Jordan	Jordan
EPI_ISL_434572	2020-04-14	Czech Republic	CzechRepublic
EPI_ISL_456402	2020-04-25	New Zealand	NewZealand
EPI_ISL_466877	2020-04-13	Germany	Germany
EPI_ISL_454218	2020-04-29	Portugal	Portugal
EPI_ISL_457979	2020-03-18	Oman	Oman
EPI_ISL_455442	2020-03-18	Poland	Poland
EPI_ISL_426360	2020-03-18	Czech Republic	CzechRepublic
EPI_ISL_426357	2020-03-18	Czech Republic	CzechRepublic
EPI_ISL_419305	2020-03-18	Japan	Japan
EPI_ISL_435070	2020-03-18	India	India
EPI_ISL_425125	2020-03-18	Germany	Germany
EPI_ISL_458034	2020-04-29	India	India
EPI_ISL_463649	2020-05-04	USA	USA
EPI_ISL_463648	2020-05-04	USA	USA
EPI_ISL_463127	2020-05-08	USA	USA
EPI_ISL_447802	2020-04-04	Colombia	Colombia
EPI_ISL_459984	2020-04-06	Morocco	Morocco
EPI_ISL_454221	2020-05-01	Portugal	Portugal
EPI_ISL_451658	2020-05-05	Poland	Poland
EPI_ISL_450829	2020-04-28	Sweden	Sweden
EPI_ISL_451660	2020-05-05	Poland	Poland
EPI_ISL_451659	2020-05-05	Poland	Poland
EPI_ISL_451655	2020-05-05	Poland	Poland
EPI_ISL_451656	2020-05-05	Poland	Poland
EPI_ISL_451664	2020-05-05	Poland	Poland
EPI_ISL_451662	2020-05-05	Poland	Poland
EPI_ISL_437497	2020-04-01	Saudi Arabia	SaudiArabia
EPI_ISL_447519	2020-04-01	Spain	Spain
EPI_ISL_437755	2020-04-01	Saudi Arabia	SaudiArabia
EPI_ISL_455709	2020-04-09	Vietnam	Vietnam
EPI_ISL_420144	2020-04-01	Georgia	Georgia
